Player,Age,Position,Nation,Team,Value
Boubacar Traoré,22,Defensive Midfield,Mali,Wolverhampton Wanderers FC,6.42
Joe Hodge,21,Defensive Midfield,Ireland,Wolverhampton Wanderers FC,1.6
João Gomes,23,Central Midfield,Brazil,Wolverhampton Wanderers FC,37.45
Jean-Ricner Bellegarde,25,Central Midfield,France,Wolverhampton Wanderers FC,16.05
Luke Cundle,22,Central Midfield,England,Wolverhampton Wanderers FC,5.35
Chem Campbell,21,Attacking Midfield,Wales,Wolverhampton Wanderers FC,0.96
Noha Lemina,19,Attacking Midfield,Gabon,Wolverhampton Wanderers FC,0.54
Pedro Neto,24,Right Winger,Portugal,Wolverhampton Wanderers FC,58.85
Pablo Sarabia,32,Right Winger,Spain,Wolverhampton Wanderers FC,10.7
Matheus Cunha,25,Centre-Forward,Brazil,Wolverhampton Wanderers FC,48.15
Hee-chan Hwang,28,Centre-Forward,South Korea,Wolverhampton Wanderers FC,26.75
Nathan Fraser,19,Centre-Forward,Ireland,Wolverhampton Wanderers FC,1.07
Leon Chiwome,18,Centre-Forward,England,Wolverhampton Wanderers FC,1.07
Jordan Pickford,30,Goalkeeper,England,Everton FC,23.54
João Virgínia,24,Goalkeeper,Portugal,Everton FC,0.86
Andy Lonergan,40,Goalkeeper,England,Everton FC,0.11
Jarrad Branthwaite,21,Centre-Back,England,Everton FC,44.94
James Tarkowski,31,Centre-Back,England,Everton FC,13.91
Ben Godfrey,26,Centre-Back,England,Everton FC,10.7
Michael Keane,31,Centre-Back,England,Everton FC,6.42
Mason Holgate,27,Centre-Back,England,Everton FC,5.35
Vitaliy Mykolenko,25,Left-Back,Ukraine,Everton FC,29.96
Ashley Young,38,Left-Back,England,Everton FC,0.54
Nathan Patterson,22,Right-Back,Scotland,Everton FC,16.05
Séamus Coleman,35,Right-Back,Ireland,Everton FC,0.54
Amadou Onana,22,Defensive Midfield,Belgium,Everton FC,53.5
James Garner,23,Defensive Midfield,England,Everton FC,23.54
Abdoulaye Doucouré,31,Central Midfield,Mali,Everton FC,10.7
André Gomes,30,Central Midfield,Portugal,Everton FC,10.7
Idrissa Gueye,34,Central Midfield,Senegal,Everton FC,3.21
Dele Alli,28,Attacking Midfield,England,Everton FC,5.35
Dwight McNeil,24,Left Winger,England,Everton FC,23.54
Arnaut Danjuma,27,Left Winger,Netherlands,Everton FC,13.91
Lewis Dobbin,21,Left Winger,England,Everton FC,2.67
Jack Harrison,27,Right Winger,England,Everton FC,19.26
Dominic Calvert-Lewin,27,Centre-Forward,England,Everton FC,23.54
Beto,26,Centre-Forward,Portugal,Everton FC,21.4
Chermiti,20,Centre-Forward,Portugal,Everton FC,9.63
Bernd Leno,32,Goalkeeper,Germany,Fulham FC,13.91
Marek Rodák,27,Goalkeeper,Slovakia,Fulham FC,3.21
Steven Benda,25,Goalkeeper,Germany,Fulham FC,1.07
Tosin Adarabioyo,26,Centre-Back,England,Fulham FC,21.4
Issa Diop,27,Centre-Back,France,Fulham FC,21.4
Calvin Bassey,24,Centre-Back,Nigeria,Fulham FC,17.12
Tim Ream,36,Centre-Back,United States,Fulham FC,0.86
Antonee Robinson,26,Left-Back,United States,Fulham FC,26.75
Fodé Ballo-Touré,27,Left-Back,Senegal,Fulham FC,3.21
Timothy Castagne,28,Right-Back,Belgium,Fulham FC,18.19
Kenny Tete,28,Right-Back,Netherlands,Fulham FC,16.05
João Palhinha,28,Defensive Midfield,Portugal,Fulham FC,58.85
Harrison Reed,29,Central Midfield,England,Fulham FC,16.05
Saša Lukić,27,Central Midfield,Serbia,Fulham FC,10.7
Tom Cairney,33,Central Midfield,Scotland,Fulham FC,2.14
Andreas Pereira,28,Attacking Midfield,Brazil,Fulham FC,21.4
Luke Harris,19,Attacking Midfield,Wales,Fulham FC,1.07
Alex Iwobi,28,Left Winger,Nigeria,Fulham FC,26.75
Willian,35,Left Winger,Brazil,Fulham FC,3.21
Harry Wilson,27,Right Winger,Wales,Fulham FC,18.19
Adama Traoré,28,Right Winger,Spain,Fulham FC,9.63
Bobby De Cordova-Reid,31,Right Winger,Jamaica,Fulham FC,5.35
Rodrigo Muniz,23,Centre-Forward,Brazil,Fulham FC,21.4
Raúl Jiménez,33,Centre-Forward,Mexico,Fulham FC,5.35
Jay Stansfield,21,Centre-Forward,England,Fulham FC,3.75
James Trafford,21,Goalkeeper,England,Burnley FC,19.26
Arijanet Muric,25,Goalkeeper,Kosovo,Burnley FC,7.49
Lawrence Vigouroux,30,Goalkeeper,Chile,Burnley FC,0.32
Jordan Beyer,24,Centre-Back,Germany,Burnley FC,13.91
Ameen Al-Dakhil,22,Centre-Back,Belgium,Burnley FC,12.84
Dara O'Shea,25,Centre-Back,Ireland,Burnley FC,7.49
Hjalmar Ekdal,25,Centre-Back,Sweden,Burnley FC,7.49
Maxime Estève,22,Centre-Back,France,Burnley FC,7.49
Hannes Delcroix,25,Centre-Back,Belgium,Burnley FC,4.28
Luke McNally,24,Centre-Back,Ireland,Burnley FC,4.07
Charlie Taylor,30,Left-Back,England,Burnley FC,3.21
Lorenz Assignon,24,Right-Back,France,Burnley FC,10.7
Connor Roberts,28,Right-Back,Wales,Burnley FC,7.49
Vitinho,24,Right-Back,Brazil,Burnley FC,5.35
Sander Berge,26,Defensive Midfield,Norway,Burnley FC,21.4
Han-Noah Massengo,22,Defensive Midfield,France,Burnley FC,4.28
Jack Cork,35,Defensive Midfield,England,Burnley FC,0.86
Josh Brownhill,28,Central Midfield,England,Burnley FC,16.05
Josh Cullen,28,Central Midfield,Ireland,Burnley FC,10.7
Aaron Ramsey,21,Attacking Midfield,England,Burnley FC,16.05
Scott Twine,24,Attacking Midfield,England,Burnley FC,3.21
Mike Trésor,25,Left Winger,Belgium,Burnley FC,12.84
Wilson Odobert,19,Left Winger,France,Burnley FC,10.7
Anass Zaroury,23,Left Winger,Morocco,Burnley FC,9.63
Jacob Bruun Larsen,25,Left Winger,Denmark,Burnley FC,8.56
Luca Koleosho,19,Left Winger,Italy,Burnley FC,7.49
Dara Costelloe,21,Left Winger,Ireland,Burnley FC,0.35
Benson Manuel,27,Right Winger,Angola,Burnley FC,5.35
Nathan Redmond,30,Right Winger,England,Burnley FC,5.35
Jóhann Berg Gudmundsson,33,Right Winger,Iceland,Burnley FC,1.07
Lyle Foster,23,Centre-Forward,South Africa,Burnley FC,13.91
Zeki Amdouni,23,Centre-Forward,Switzerland,Burnley FC,12.84
Michael Obafemi,23,Centre-Forward,Ireland,Burnley FC,2.35
Jay Rodríguez,34,Centre-Forward,England,Burnley FC,1.07
Ivo Grbic,28,Goalkeeper,Croatia,Sheffield United,3.75
Wes Foderingham,33,Goalkeeper,England,Sheffield United,0.96
Adam Davies,31,Goalkeeper,Wales,Sheffield United,0.54
Jordan Amissah,22,Goalkeeper,Ghana,Sheffield United,0.27
Anel Ahmedhodzic,25,Centre-Back,Bosnia-Herzegovina,Sheffield United,19.26
Auston Trusty,25,Centre-Back,United States,Sheffield United,7.49
John Egan,31,Centre-Back,Ireland,Sheffield United,4.28
Jack Robinson,30,Centre-Back,England,Sheffield United,1.07
Chris Basham,35,Centre-Back,England,Sheffield United,0.32
Yasser Larouci,23,Left-Back,Algeria,Sheffield United,3.21
Max Lowe,27,Left-Back,England,Sheffield United,2.67
Rhys Norrington-Davies,25,Left-Back,Wales,Sheffield United,2.67
Jayden Bogle,23,Right-Back,England,Sheffield United,4.07
George Baldock,31,Right-Back,Greece,Sheffield United,2.67
Femi Seriki,22,Right-Back,England,Sheffield United,0.32
Vini Souza,25,Defensive Midfield,Brazil,Sheffield United,12.84
Gustavo Hamer,27,Central Midfield,Netherlands,Sheffield United,16.05
Tom Davies,25,Central Midfield,England,Sheffield United,5.35
Anis Slimane,23,Central Midfield,Tunisia,Sheffield United,2.67
Andre Brooks,20,Central Midfield,England,Sheffield United,2.67
Oliver Norwood,33,Central Midfield,Northern Ireland,Sheffield United,1.07
Ben Osborn,29,Central Midfield,England,Sheffield United,1.07
Oliver Arblaster,20,Central Midfield,England,Sheffield United,0.48
Ben Brereton Díaz,25,Left Winger,Chile,Sheffield United,8.56
Cameron Archer,22,Centre-Forward,England,Sheffield United,13.91
Oli McBurnie,28,Centre-Forward,Scotland,Sheffield United,4.82
Rhian Brewster,24,Centre-Forward,England,Sheffield United,3.21
William Osula,20,Centre-Forward,Denmark,Sheffield United,3.21
Daniel Jebbison,20,Centre-Forward,Canada,Sheffield United,1.07
Thomas Kaminski,31,Goalkeeper,Belgium,Luton Town,3.21
Tim Krul,36,Goalkeeper,Netherlands,Luton Town,0.54
Jack Walton,26,Goalkeeper,England,Luton Town,0.43
James Shea,33,Goalkeeper,England,Luton Town,0.21
Teden Mengi,22,Centre-Back,England,Luton Town,12.84
Tom Holmes,24,Centre-Back,England,Luton Town,3.75
Gabriel Osho,25,Centre-Back,Nigeria,Luton Town,3.21
Mads Andersen,26,Centre-Back,Denmark,Luton Town,3.21
Tom Lockyer,29,Centre-Back,Wales,Luton Town,2.67
Reece Burke,27,Centre-Back,England,Luton Town,1.93
Ryan Giles,24,Left-Back,England,Luton Town,4.82
Amari'i Bell,30,Left-Back,Jamaica,Luton Town,2.67
Dan Potts,30,Left-Back,England,Luton Town,0.96
Daiki Hashioka,25,Right-Back,Japan,Luton Town,2.14
Marvelous Nakamba,30,Defensive Midfield,Zimbabwe,Luton Town,5.35
Pelly Ruddock Mpanzu,30,Defensive Midfield,DR Congo,Luton Town,1.6
Ross Barkley,30,Central Midfield,England,Luton Town,8.56
Allan Campbell,25,Central Midfield,Scotland,Luton Town,2.14
Jordan Clark,30,Central Midfield,England,Luton Town,1.07
Luke Berry,31,Central Midfield,England,Luton Town,0.43
Louie Watson,23,Central Midfield,Ireland,Luton Town,0.27
Elliot Thorpe,23,Central Midfield,Wales,Luton Town,0.21
Alfie Doughty,24,Left Midfield,England,Luton Town,10.7
Fred Onyedinma,27,Attacking Midfield,Nigeria,Luton Town,0.54
Dion Pereira,25,Left Winger,Antigua and Barbuda,Luton Town,0.19
Chiedozie Ogbene,27,Right Winger,Ireland,Luton Town,8.56
Tahith Chong,24,Right Winger,Netherlands,Luton Town,6.42
Andros Townsend,32,Right Winger,England,Luton Town,1.93
John McAtee,24,Second Striker,England,Luton Town,0.32
Carlton Morris,28,Centre-Forward,England,Luton Town,13.91
Elijah Adebayo,26,Centre-Forward,England,Luton Town,12.84
Jacob Brown,26,Centre-Forward,Scotland,Luton Town,4.28
Cauley Woodrow,29,Centre-Forward,England,Luton Town,1.07
Joe Taylor,21,Centre-Forward,Wales,Luton Town,0.37
Admiral Muskwe,25,Centre-Forward,Zimbabwe,Luton Town,0.29
Thibaut Courtois,32,Goalkeeper,Belgium,Real Madrid,29.96
Andriy Lunin,25,Goalkeeper,Ukraine,Real Madrid,26.75
Kepa Arrizabalaga,29,Goalkeeper,Spain,Real Madrid,12.84
Éder Militão,26,Centre-Back,Brazil,Real Madrid,64.2
Antonio Rüdiger,31,Centre-Back,Germany,Real Madrid,26.75
David Alaba,32,Centre-Back,Austria,Real Madrid,21.4
Nacho Fernández,34,Centre-Back,Spain,Real Madrid,3.21
Ferland Mendy,29,Left-Back,France,Real Madrid,23.54
Fran García,24,Left-Back,Spain,Real Madrid,16.05
Daniel Carvajal,32,Right-Back,Spain,Real Madrid,12.84
Lucas Vázquez,32,Right-Back,Spain,Real Madrid,4.28
Aurélien Tchouaméni,24,Defensive Midfield,France,Real Madrid,107.0
Federico Valverde,25,Central Midfield,Uruguay,Real Madrid,128.4
Eduardo Camavinga,21,Central Midfield,France,Real Madrid,107.0
Toni Kroos,34,Central Midfield,Germany,Real Madrid,10.7
Luka Modric,38,Central Midfield,Croatia,Real Madrid,6.42
Dani Ceballos,27,Central Midfield,Spain,Real Madrid,6.42
Jude Bellingham,20,Attacking Midfield,England,Real Madrid,192.6
Brahim Díaz,24,Attacking Midfield,Morocco,Real Madrid,42.8
Arda Güler,19,Attacking Midfield,Türkiye,Real Madrid,32.1
Nico Paz,19,Attacking Midfield,Argentina,Real Madrid,10.7
Vinicius Junior,23,Left Winger,Brazil,Real Madrid,192.6
Rodrygo,23,Right Winger,Brazil,Real Madrid,117.7
Joselu,34,Centre-Forward,Spain,Real Madrid,5.35
Marc-André ter Stegen,32,Goalkeeper,Germany,FC Barcelona,29.96
Iñaki Peña,25,Goalkeeper,Spain,FC Barcelona,8.56
Ander Astralaga,20,Goalkeeper,Spain,FC Barcelona,1.07
Ronald Araujo,25,Centre-Back,Uruguay,FC Barcelona,74.9
Jules Koundé,25,Centre-Back,France,FC Barcelona,48.15
Andreas Christensen,28,Centre-Back,Denmark,FC Barcelona,42.8
Pau Cubarsí,17,Centre-Back,Spain,FC Barcelona,32.1
Iñigo Martínez,33,Centre-Back,Spain,FC Barcelona,5.35
Alejandro Balde,20,Left-Back,Spain,FC Barcelona,42.8
Marcos Alonso,33,Left-Back,Spain,FC Barcelona,2.14
João Cancelo,30,Right-Back,Portugal,FC Barcelona,26.75
Héctor Fort,17,Right-Back,Spain,FC Barcelona,10.7
Oriol Romeu,32,Defensive Midfield,Spain,FC Barcelona,2.14
Gavi,19,Central Midfield,Spain,FC Barcelona,96.3
Pedri,21,Central Midfield,Spain,FC Barcelona,85.6
Frenkie de Jong,27,Central Midfield,Netherlands,FC Barcelona,74.9
Fermín López,21,Central Midfield,Spain,FC Barcelona,32.1
İlkay Gündoğan,33,Central Midfield,Germany,FC Barcelona,16.05
Sergi Roberto,32,Central Midfield,Spain,FC Barcelona,2.67
Ferran Torres,24,Left Winger,Spain,FC Barcelona,32.1
Lamine Yamal,16,Right Winger,Spain,FC Barcelona,96.3
Raphinha,27,Right Winger,Brazil,FC Barcelona,53.5
João Félix,24,Second Striker,Portugal,FC Barcelona,32.1
Vitor Roque,19,Centre-Forward,Brazil,FC Barcelona,32.1
Robert Lewandowski,35,Centre-Forward,Poland,FC Barcelona,16.05
Marc Guiu,18,Centre-Forward,Spain,FC Barcelona,8.03
Álex Remiro,29,Goalkeeper,Spain,Real Sociedad,26.75
Unai Marrero,22,Goalkeeper,Spain,Real Sociedad,0.32
Robin Le Normand,27,Centre-Back,Spain,Real Sociedad,42.8
Igor Zubeldia,27,Centre-Back,Spain,Real Sociedad,23.54
Jon Pacheco,23,Centre-Back,Spain,Real Sociedad,16.05
Aritz Elustondo,30,Centre-Back,Spain,Real Sociedad,5.35
Kieran Tierney,27,Left-Back,Scotland,Real Sociedad,12.84
Aihen Muñoz,26,Left-Back,Spain,Real Sociedad,8.56
Javi Galán,29,Left-Back,Spain,Real Sociedad,7.49
Hamari Traoré,32,Right-Back,Mali,Real Sociedad,6.42
Álvaro Odriozola,28,Right-Back,Spain,Real Sociedad,2.67
Jon Aramburu,21,Right-Back,Venezuela,Real Sociedad,2.67
Martín Zubimendi,25,Defensive Midfield,Spain,Real Sociedad,53.5
Urko González de Zarate,23,Defensive Midfield,Spain,Real Sociedad,1.28
Mikel Merino,28,Central Midfield,Spain,Real Sociedad,53.5
Beñat Turrientes,22,Central Midfield,Spain,Real Sociedad,21.4
Jon Ander Olasagasti,23,Central Midfield,Spain,Real Sociedad,1.28
Brais Méndez,27,Attacking Midfield,Spain,Real Sociedad,42.8
Arsen Zakharyan,21,Attacking Midfield,Russia,Real Sociedad,19.26
Jon Magunazelaia,22,Attacking Midfield,Spain,Real Sociedad,1.07
Ander Barrenetxea,22,Left Winger,Spain,Real Sociedad,21.4
Martín Merquelanz,29,Left Winger,Spain,Real Sociedad,0.64
Takefusa Kubo,23,Right Winger,Japan,Real Sociedad,53.5
Mikel Oyarzabal,27,Centre-Forward,Spain,Real Sociedad,48.15
Sheraldo Becker,29,Centre-Forward,Suriname,Real Sociedad,10.7
Umar Sadiq,27,Centre-Forward,Nigeria,Real Sociedad,10.7
André Silva,28,Centre-Forward,Portugal,Real Sociedad,6.42
Carlos Fernández,28,Centre-Forward,Spain,Real Sociedad,1.6
Jan Oblak,31,Goalkeeper,Slovenia,Atletico de Madrid,29.96
Horațiu Moldovan,26,Goalkeeper,Romania,Atletico de Madrid,2.67
Mario Hermoso,29,Centre-Back,Spain,Atletico de Madrid,26.75
José María Giménez,29,Centre-Back,Uruguay,Atletico de Madrid,23.54
Axel Witsel,35,Centre-Back,Belgium,Atletico de Madrid,3.75
Stefan Savic,33,Centre-Back,Montenegro,Atletico de Madrid,2.67
Gabriel Paulista,33,Centre-Back,Brazil,Atletico de Madrid,2.14
Reinildo Mandava,30,Left-Back,Mozambique,Atletico de Madrid,9.63
Nahuel Molina,26,Right-Back,Argentina,Atletico de Madrid,29.96
César Azpilicueta,34,Right-Back,Spain,Atletico de Madrid,2.14
Rodrigo de Paul,30,Central Midfield,Argentina,Atletico de Madrid,32.1
Marcos Llorente,29,Central Midfield,Spain,Atletico de Madrid,32.1
Arthur Vermeeren,19,Central Midfield,Belgium,Atletico de Madrid,26.75
Pablo Barrios,21,Central Midfield,Spain,Atletico de Madrid,26.75
Koke,32,Central Midfield,Spain,Atletico de Madrid,12.84
Saúl Ñíguez,29,Central Midfield,Spain,Atletico de Madrid,8.03
Thomas Lemar,28,Attacking Midfield,France,Atletico de Madrid,10.7
Samuel Lino,24,Left Winger,Brazil,Atletico de Madrid,32.1
Rodrigo Riquelme,24,Left Winger,Spain,Atletico de Madrid,26.75
Marcos Paulo,23,Left Winger,Portugal,Atletico de Madrid,2.14
Vitolo,34,Left Winger,Spain,Atletico de Madrid,0.11
Ángel Correa,29,Right Winger,Argentina,Atletico de Madrid,19.26
Antoine Griezmann,33,Centre-Forward,France,Atletico de Madrid,26.75
Álvaro Morata,31,Centre-Forward,Spain,Atletico de Madrid,17.12
Memphis Depay,30,Centre-Forward,Netherlands,Atletico de Madrid,10.7
Unai Simón,27,Goalkeeper,Spain,Athletic Bilbao,32.1
Julen Agirrezabala,23,Goalkeeper,Spain,Athletic Bilbao,5.35
Dani Vivian,24,Centre-Back,Spain,Athletic Bilbao,26.75
Aitor Paredes,24,Centre-Back,Spain,Athletic Bilbao,23.54
Yeray Álvarez,29,Centre-Back,Spain,Athletic Bilbao,8.56
Yuri Berchiche,34,Left-Back,Spain,Athletic Bilbao,1.93
Imanol García de Albéniz,24,Left-Back,Spain,Athletic Bilbao,1.28
Iñigo Lekue,31,Right-Back,Spain,Athletic Bilbao,3.21
Óscar de Marcos,35,Right-Back,Spain,Athletic Bilbao,1.6
Mikel Vesga,31,Defensive Midfield,Spain,Athletic Bilbao,4.28
Beñat Prados,23,Central Midfield,Spain,Athletic Bilbao,16.05
Iñigo Ruiz de Galarreta,30,Central Midfield,Spain,Athletic Bilbao,5.35
Ander Herrera,34,Central Midfield,Spain,Athletic Bilbao,2.14
Dani García,34,Central Midfield,Spain,Athletic Bilbao,1.93
Mikel Jauregizar,20,Central Midfield,Spain,Athletic Bilbao,0.86
Oihan Sancet,24,Attacking Midfield,Spain,Athletic Bilbao,37.45
Unai Gómez,21,Attacking Midfield,Spain,Athletic Bilbao,6.42
Iker Muniain,31,Attacking Midfield,Spain,Athletic Bilbao,5.35
Nico Williams,21,Left Winger,Spain,Athletic Bilbao,64.2
Álex Berenguer,28,Left Winger,Spain,Athletic Bilbao,12.84
Iñaki Williams,30,Right Winger,Ghana,Athletic Bilbao,26.75
Adu Ares,22,Right Winger,Spain,Athletic Bilbao,2.14
Gorka Guruzeta,27,Centre-Forward,Spain,Athletic Bilbao,19.26
Asier Villalibre,26,Centre-Forward,Spain,Athletic Bilbao,2.67
Raúl García,37,Centre-Forward,Spain,Athletic Bilbao,1.6
Paulo Gazzaniga,32,Goalkeeper,Argentina,Girona FC,4.28
Toni Fuidias,23,Goalkeeper,Spain,Girona FC,0.32
Juan Carlos,36,Goalkeeper,Spain,Girona FC,0.21
Eric García,23,Centre-Back,Spain,Girona FC,21.4
Daley Blind,34,Centre-Back,Netherlands,Girona FC,3.21
David López,34,Centre-Back,Spain,Girona FC,2.67
Juanpe,33,Centre-Back,Spain,Girona FC,1.07
Miguel Gutiérrez,22,Left-Back,Spain,Girona FC,26.75
Yan Couto,22,Right-Back,Brazil,Girona FC,26.75
Arnau Martínez,21,Right-Back,Spain,Girona FC,10.7
Aleix García,26,Central Midfield,Spain,Girona FC,26.75
Yangel Herrera,26,Central Midfield,Venezuela,Girona FC,26.75
Pablo Torre,21,Central Midfield,Spain,Girona FC,3.21
Jhon Solís,19,Central Midfield,Colombia,Girona FC,3.21
Iván Martín,25,Attacking Midfield,Spain,Girona FC,16.05
Borja García,33,Attacking Midfield,Spain,Girona FC,0.86
Sávio,20,Left Winger,Brazil,Girona FC,53.5
Toni Villa,29,Left Winger,Spain,Girona FC,1.6
Viktor Tsygankov,26,Right Winger,Ukraine,Girona FC,32.1
Portu,32,Right Winger,Spain,Girona FC,3.75
Valery Fernández,24,Right Winger,Spain,Girona FC,2.67
Artem Dovbyk,27,Centre-Forward,Ukraine,Girona FC,37.45
Cristhian Stuani,37,Centre-Forward,Uruguay,Girona FC,1.93
Giorgi Mamardashvili,23,Goalkeeper,Georgia,Valencia FC,37.45
Jaume Doménech,33,Goalkeeper,Spain,Valencia FC,0.86
Cristian Rivero,26,Goalkeeper,Spain,Valencia FC,0.21
Cristhian Mosquera,19,Centre-Back,Spain,Valencia FC,32.1
Yarek Gasiorowski,19,Centre-Back,Spain,Valencia FC,16.05
Cenk Özkacar,23,Centre-Back,Türkiye,Valencia FC,4.28
Mouctar Diakhaby,27,Centre-Back,Guinea,Valencia FC,2.14
José Gayà,29,Left-Back,Spain,Valencia FC,26.75
Jesús Vázquez,21,Left-Back,Spain,Valencia FC,3.21
Thierry Correia,25,Right-Back,Portugal,Valencia FC,6.42
Dimitri Foulquier,31,Right-Back,Guadeloupe,Valencia FC,2.67
Pepelu,25,Defensive Midfield,Spain,Valencia FC,23.54
Hugo Guillamón,24,Defensive Midfield,Spain,Valencia FC,8.56
Javi Guerra,21,Central Midfield,Spain,Valencia FC,21.4
André Almeida,24,Central Midfield,Portugal,Valencia FC,16.05
Selim Amallah,27,Attacking Midfield,Morocco,Valencia FC,1.6
Pablo Gozálbez,23,Attacking Midfield,Spain,Valencia FC,0.86
Diego López,22,Left Winger,Spain,Valencia FC,14.98
Fran Pérez,21,Right Winger,Spain,Valencia FC,8.56
Peter Federico,21,Right Winger,Dominican Republic,Valencia FC,3.21
Sergi Canós,27,Right Winger,Spain,Valencia FC,2.67
Hugo González,21,Right Winger,Spain,Valencia FC,0.32
Hugo Duro,24,Centre-Forward,Spain,Valencia FC,17.12
Roman Yaremchuk,28,Centre-Forward,Ukraine,Valencia FC,3.75
Alberto Marí,22,Centre-Forward,Spain,Valencia FC,1.6
Filip Jørgensen,22,Goalkeeper,Denmark,Villarreal FC,21.4
Pepe Reina,41,Goalkeeper,Spain,Villarreal FC,0.64
Yerson Mosquera,23,Centre-Back,Colombia,Villarreal FC,6.42
Jorge Cuenca,24,Centre-Back,Spain,Villarreal FC,6.42
Eric Bailly,30,Centre-Back,Cote d'Ivoire,Villarreal FC,3.21
Aïssa Mandi,32,Centre-Back,Algeria,Villarreal FC,1.93
Raúl Albiol,38,Centre-Back,Spain,Villarreal FC,1.6
Alfonso Pedraza,28,Left-Back,Spain,Villarreal FC,5.35
Alberto Moreno,31,Left-Back,Spain,Villarreal FC,1.93
Carlos Romero,22,Left-Back,Spain,Villarreal FC,1.6
Juan Foyth,26,Right-Back,Argentina,Villarreal FC,16.05
Kiko Femenía,33,Right-Back,Spain,Villarreal FC,1.5
Ramón Terrats,23,Defensive Midfield,Spain,Villarreal FC,4.28
Étienne Capoue,35,Defensive Midfield,France,Villarreal FC,1.6
Francis Coquelin,33,Defensive Midfield,France,Villarreal FC,1.6
Santi Comesaña,27,Central Midfield,Spain,Villarreal FC,6.42
Dani Parejo,35,Central Midfield,Spain,Villarreal FC,2.67
Manu Trigueros,32,Central Midfield,Spain,Villarreal FC,1.6
Álex Baena,22,Attacking Midfield,Spain,Villarreal FC,42.8
Denis Suárez,30,Attacking Midfield,Spain,Villarreal FC,1.6
Gonçalo Guedes,27,Left Winger,Portugal,Villarreal FC,16.05
Yéremy Pino,21,Right Winger,Spain,Villarreal FC,32.1
Ilias Akhomach,20,Right Winger,Morocco,Villarreal FC,16.05
Bertrand Traoré,28,Right Winger,Burkina Faso,Villarreal FC,9.63
Alexander Sørloth,28,Centre-Forward,Norway,Villarreal FC,26.75
Gerard Moreno,32,Centre-Forward,Spain,Villarreal FC,10.7
José Luis Morales,36,Centre-Forward,Spain,Villarreal FC,1.6
Jorge Pascual,21,Centre-Forward,Spain,Villarreal FC,1.07
Ørjan Nyland,33,Goalkeeper,Norway,Sevilla FC,1.5
Marko Dmitrovic,32,Goalkeeper,Serbia,Sevilla FC,0.96
Loïc Badé,24,Centre-Back,France,Sevilla FC,14.98
Kike Salas,22,Centre-Back,Spain,Sevilla FC,10.7
Marcão,28,Centre-Back,Brazil,Sevilla FC,4.28
Nemanja Gudelj,32,Centre-Back,Serbia,Sevilla FC,3.75
Tanguy Nianzou,22,Centre-Back,France,Sevilla FC,3.21
Sergio Ramos,38,Centre-Back,Spain,Sevilla FC,2.67
Adrià Pedrosa,26,Left-Back,Spain,Sevilla FC,6.42
Marcos Acuña,32,Left-Back,Argentina,Sevilla FC,4.28
Juanlu Sánchez,20,Right-Back,Spain,Sevilla FC,16.05
Jesús Navas,38,Right-Back,Spain,Sevilla FC,2.67
Boubakary Soumaré,25,Defensive Midfield,France,Sevilla FC,14.98
Lucien Agoumé,22,Defensive Midfield,France,Sevilla FC,6.42
Djibril Sow,27,Central Midfield,Switzerland,Sevilla FC,9.63
Óliver Torres,29,Central Midfield,Spain,Sevilla FC,6.42
Joan Jordán,29,Central Midfield,Spain,Sevilla FC,3.75
Manu Bueno,19,Central Midfield,Spain,Sevilla FC,0.32
Hannibal,21,Attacking Midfield,Tunisia,Sevilla FC,9.63
Lucas Ocampos,29,Left Winger,Argentina,Sevilla FC,9.63
Dodi Lukébakio,26,Right Winger,Belgium,Sevilla FC,12.84
Suso,30,Right Winger,Spain,Sevilla FC,4.28
Erik Lamela,32,Right Winger,Argentina,Sevilla FC,2.14
Adnan Januzaj,29,Right Winger,Belgium,Sevilla FC,2.14
Youssef En-Nesyri,27,Centre-Forward,Morocco,Sevilla FC,21.4
Isaac Romero,24,Centre-Forward,Spain,Sevilla FC,19.26
Alejo Véliz,20,Centre-Forward,Argentina,Sevilla FC,9.63
Rafa Mir,27,Centre-Forward,Spain,Sevilla FC,2.67
Mariano Díaz,30,Centre-Forward,Dominican Republic,Sevilla FC,1.6
Rui Silva,30,Goalkeeper,Portugal,Real Betis,8.56
Claudio Bravo,41,Goalkeeper,Chile,Real Betis,0.86
Chadi Riad,21,Centre-Back,Morocco,Real Betis,16.05
Germán Pezzella,32,Centre-Back,Argentina,Real Betis,3.21
Marc Bartra,33,Centre-Back,Spain,Real Betis,1.07
Sokratis Papastathopoulos,36,Centre-Back,Greece,Real Betis,0.75
Juan Miranda,24,Left-Back,Spain,Real Betis,9.63
Abner,24,Left-Back,Brazil,Real Betis,7.49
Héctor Bellerín,29,Right-Back,Spain,Real Betis,4.28
Youssouf Sabaly,31,Right-Back,Senegal,Real Betis,2.67
Johnny Cardoso,22,Defensive Midfield,United States,Real Betis,26.75
Guido Rodríguez,30,Defensive Midfield,Argentina,Real Betis,21.4
Marc Roca,27,Defensive Midfield,Spain,Real Betis,9.63
William Carvalho,32,Defensive Midfield,Portugal,Real Betis,3.21
Sergi Altimira,22,Central Midfield,Spain,Real Betis,2.67
Pablo Fornals,28,Attacking Midfield,Spain,Real Betis,14.98
Nabil Fekir,30,Attacking Midfield,France,Real Betis,10.7
Isco,32,Attacking Midfield,Spain,Real Betis,8.56
Rodri Sánchez,24,Attacking Midfield,Spain,Real Betis,3.21
